date,close,sigma,r,strike,dte,tau_years,put_px,put_delta,contracts,cash,portfolio_value,portfolio_delta,rebalanced,rolled,trade_contracts,option_cashflow,cum_hedge_cost
2023-09-07,177.55999755859375,0.2701,0.0553,183.11249999999998,45,0.1232876712328767,9.166961175634995,-0.5813593275664548,1.720106571930233,202.3890591308651,19535.203831274146,-1.4210854715202004e-14,True,False,-0.4737482069209624,434.2831419871157,-94.64208339633495
2023-09-08,178.17999267578125,0.2481,0.0555,183.11249999999998,44,0.12054794520547946,8.216950462708553,-0.5777970555190838,1.7307114850241245,193.7058311420839,19433.822152488607,0.0,True,False,0.010604913093891444,-8.714004555383529,-85.92807884095143
2023-09-11,179.36000061035156,0.2444,0.0555,183.11249999999998,41,0.11232876712328767,7.301272987605884,-0.5539770334006586,1.8051289849714032,139.45996478291158,19393.433975529682,0.0,True,False,0.07441749994727864,-54.33424821702279,-31.59383062392864
2023-09-12,176.3000030517578,0.24280000000000002,0.0556,183.11249999999998,40,0.1095890410958904,9.037103440404863,-0.6389678159313251,1.5650240513952238,356.46652229345756,19400.79525138725,-1.4210854715202004e-14,True,False,-0.24010493357617935,216.98531212794717,-248.5791427518758
2023-09-13,174.2100067138672,0.2361,0.0555,183.11249999999998,39,0.10684931506849316,10.256237275903302,-0.7020687673314893,1.4243618952042618,500.7871738218057,19382.647201605545,0.0,True,False,-0.140662156190962,144.2664449634677,-392.8455877153435
2023-09-14,175.74000549316406,0.2223,0.0555,183.11249999999998,38,0.10410958904109589,8.884687951974954,-0.6759899222493313,1.4793119942861535,452.04187837490707,19340.364972975938,-1.4210854715202004e-14,True,False,0.054950099081891635,-48.821448327271256,-344.0241393880723
2023-09-15,175.00999450683594,0.22890000000000002,0.0556,183.11249999999998,37,0.10136986301369863,9.474862363830567,-0.6940013165255856,1.44091945676177,488.48714348596957,19354.737947187892,0.0,True,False,-0.03839253752438343,36.376400884173336,-380.4005402722456
2023-09-18,177.97000122070312,0.2263,0.0555,183.11249999999998,34,0.09315068493150686,7.339685519285197,-0.6190716843567831,1.6153218201846888,360.7041746196077,19343.29971394942,0.0,True,False,0.17440236342291882,-128.00585013443117,-252.39469013781445
2023-09-19,179.07000732421875,0.2284,0.055400000000000005,183.11249999999998,33,0.09041095890410959,6.668190272712479,-0.5862030765486304,1.7058934693547994,300.36402775279146,19344.88698403821,0.0,True,False,0.09057164917011051,-60.39489899796582,-191.99979113984864
2023-09-20,175.49000549316406,0.24100000000000002,0.0556,183.11249999999998,32,0.08767123287671233,9.148579375267559,-0.6885893842743547,1.452244287869489,532.4627523488365,19410.060515650537,0.0,True,False,-0.25364918148531035,232.05296702900083,-424.05275816884944
2023-09-21,173.92999267578125,0.2516,0.055700000000000006,183.11249999999998,31,0.08493150684931507,10.38952340342604,-0.7259044474092222,1.377591780252944,610.1044113245047,19434.35588303316,0.0,True,False,-0.07465250761654496,77.56039750065345,-501.6131556695029
2023-09-22,174.7899932861328,0.2525,0.0556,183.11249999999998,30,0.0821917808219178,9.740030956290994,-0.7065207976058065,1.4153865015562304,573.3851793082653,19430.975341948957,0.0,True,False,0.037794721303286316,-36.81217554783994,-464.8009801216629
2023-09-25,176.0800018310547,0.2589,0.0558,167.27600173950194,90,0.2465753424657534,4.289209185867961,-0.28424203836301787,3.5181284434882096,307.7530790080093,19424.752145800776,-1.4210854715202004e-14,True,True,3.5181284434882096,-1508.998883687298,-198.905847785476
2023-09-26,171.9600067138672,0.2799,0.0558,167.27600173950194,89,0.24383561643835616,6.219759859505153,-0.3566749661395586,2.803673077545687,752.1742115331501,19691.992209609263,0.0,True,False,-0.7144553659425226,444.3740806497367,-643.2799284352127
2023-09-27,170.42999267578125,0.275,0.0558,167.27600173950194,88,0.2410958904109589,6.588226728425013,-0.3799993490509598,2.6315834553334856,865.665755118095,19642.411868547133,0.0,True,False,-0.17208962221220148,113.37654487429886,-756.6564733095115
2023-09-28,170.69000244140625,0.2727,0.0556,167.27600173950194,87,0.23835616438356164,6.381595571587837,-0.3752946055184231,2.6645733386405164,844.7448216373654,19614.168007581924,-1.4210854715202004e-14,True,False,0.03298988330703079,-21.05280932193472,-735.6036639875767
2023-09-29,171.2100067138672,0.2724,0.0555,167.27600173950194,86,0.2356164383561644,6.141972845108128,-0.3666209529634509,2.7276127889496045,806.1546197067696,19602.4476592633,-1.4210854715202004e-14,True,False,0.06303945030908809,-38.718659196896226,-696.8850047906806
2023-10-02,173.75,0.2868,0.0562,167.27600173950194,83,0.2273972602739726,5.566878082930742,-0.33015896823703883,3.0288439697389844,638.8353570756835,19699.955868251374,0.0,True,False,0.30123118078937994,-167.69172582317472,-529.1932789675059
2023-10-03,172.39999389648438,0.3115,0.0562,167.27600173950194,82,0.22465753424657534,6.735161005989546,-0.3580436161290028,2.792955815862671,797.8081973675988,19918.908297261034,0.0,True,False,-0.23588815387631357,158.8744695762609,-688.0677485437668
2023-10-04,173.66000366210938,0.3003,0.056100000000000004,167.27600173950194,81,0.2219178082191781,5.914727356762711,-0.3359669350128385,2.976483385074149,689.3792753850187,19815.88841206073,-1.4210854715202004e-14,True,False,0.18352756921147817,-108.55155343352916,-579.5161951102376
2023-10-05,174.91000366210938,0.2977,0.056100000000000004,167.27600173950194,80,0.2191780821917808,5.385205604865163,-0.3162878935837632,3.1616764988039856,589.7549407743686,19783.383107198275,0.0,True,False,0.1851931137298366,-99.73029940403475,-479.78589570620284
2023-10-06,177.49000549316406,0.2838,0.0563,167.27600173950194,79,0.21643835616438356,4.187123355306454,-0.27185664137467347,3.678409307727,373.4835142008955,19662.67941579334,0.0,True,False,0.5167328089230145,-216.36240126946615,-263.4234944367367
2023-10-09,178.99000549316406,0.2791,0.0563,167.27600173950194,76,0.20821917808219179,3.5521484478244574,-0.24598290873612583,4.0653230955681305,236.21885876057488,19579.282520459707,0.0,True,False,0.3869137878411304,-137.43752109217527,-125.98597334456142
